simTime,stepTime
9.89552,0.000137346
9.91209,0.000135904
9.92854,0.00012811
9.9452,0.0001016
9.9453,3.5697e-05
9.96187,0.000102572
9.97855,0.0001343
9.99539,0.000141444
10.0121,0.000157464
10.0285,0.000108833
10.0452,0.000116317
10.0619,0.000120796
10.0786,0.000196196
10.0952,0.000132067
10.0953,2.7141e-05
10.112,0.000211575
10.1285,0.000111027
10.1452,0.000115756
10.1619,0.000183623
10.1786,0.000102551
10.1952,0.000110927
10.2121,0.000133229
10.2285,0.000173974
10.2453,0.000152174
10.2454,4.7669e-05
10.262,0.000167432
10.2785,0.000197078
10.2952,0.000184495
10.3119,0.000179565
10.3286,0.000173924
10.3452,0.00016098
10.3619,0.000162964
10.3785,0.00014486
10.3952,0.000135523
10.3953,4.6376e-05
10.412,0.000251559
10.4286,0.000189504
10.4452,0.000166831
10.4619,0.000160009
10.4785,0.000138268
10.4952,0.000153156
10.5119,0.000153246
10.5286,0.000129602
10.5452,0.000189895
10.5454,9.7051e-05
10.5619,0.000149489
10.5786,0.000172302
10.5952,0.000176589
10.6119,0.000188893
10.6287,0.000217246
10.6454,0.000154088
10.662,0.000179575
10.6786,0.000140993
10.6952,0.000115385
10.6954,3.1489e-05
10.712,0.00013908
10.7286,0.000208209
10.7453,0.00017696
10.7619,0.000119162
10.7786,0.000131636
10.7954,0.000200754
10.812,0.00012831
10.8288,0.000194693
10.8453,0.000137406
10.8455,3.6588e-05
10.862,0.000187029
10.8787,0.000179485
10.8954,0.000226734
10.912,0.000126405
10.9287,0.000212416
10.9454,0.000128931
10.962,0.000120245
10.9787,0.000226823
10.9955,0.000255487
10.9958,0.000120645
11.012,0.000143538
11.0287,0.000114594
11.0454,0.000145422
11.062,0.000145642
11.0787,0.000192189
11.0954,0.000133209
11.112,0.00012866
11.1288,0.000148607
11.1454,0.00013383
11.1455,4.7939e-05
11.162,0.000142496
11.1787,0.000220171
11.1954,0.000205654
11.2121,0.00019839
11.2287,0.000119884
11.2454,0.000202247
