simTime,fps
17.1545,60
17.1711,60
17.1876,60
17.2042,60
17.2209,60
17.2377,60
17.2542,60
17.2712,60
17.2878,60
17.3043,60
17.3209,60
17.3376,60
17.3543,60
17.371,60
17.3876,60
17.4043,60
17.4209,60
17.4376,60
17.4543,60
17.471,60
17.4876,60
17.5043,60
17.521,60
17.5376,60
17.5543,60
17.571,60
17.5876,60
17.6043,60
17.621,60
17.6376,60
17.6543,60
17.671,60
17.6876,60
17.7043,60
17.721,60
17.7377,60
17.7543,60
17.7711,60
17.7877,60
17.8043,60
17.821,60
17.8377,60
17.8543,60
17.871,60
17.8877,60
17.9046,60
17.9213,60
17.9377,60
17.9543,60
17.971,60
17.9877,60
18.0043,60
18.021,60
18.0377,60
18.0543,60
18.0711,60
18.0877,60
18.1043,60
18.121,60
18.1377,60
18.1544,60
18.171,60
18.1877,60
18.2044,60
18.221,60
18.2377,60
18.2544,60
18.2711,60
18.2877,60
18.3044,60
18.321,60
18.3377,60
18.3544,60
18.3709,60
18.3878,60
18.4044,60
18.421,60
18.4377,60
18.4544,60
18.4711,60
18.4877,60
18.5044,60
18.521,60
18.5377,60
18.5544,60
18.5711,60
18.5877,60
18.6044,60
18.621,60
18.6377,60
18.6544,60
18.6711,60
18.6878,60
18.7044,60
18.721,60
18.7378,60
18.7544,60
18.7711,60
18.7878,60
18.8044,60
18.8211,60
18.8377,60
18.8544,60
18.8711,60
18.8877,60
18.9044,60
18.9211,60
18.9378,60
18.9544,60
18.9711,60
18.9877,60
19.0045,60
19.0211,60
19.0377,60
19.0544,60
19.0711,60
19.0878,60
19.1044,60
19.1211,60
19.1377,60
19.1544,60
19.1711,60
19.1878,60
19.2044,60
19.2211,60
19.2378,60
19.2544,60
19.2711,60
19.2878,60
19.3045,60
19.3211,60
19.3378,60
19.3544,60
19.3711,60
19.3878,60
19.4044,60
19.4211,60
19.4378,60
19.4544,60
19.4711,60
19.4878,60
19.5044,60
19.5211,60
19.5378,60
19.5545,60
19.5711,60
19.5878,60
19.6045,60
19.6211,60
19.6378,60
19.6545,60
19.6711,60
19.6878,60
19.7045,60
19.7211,60
19.7378,60
19.7545,60
19.7711,60
19.7878,60
19.8045,60
19.8212,60
19.8379,60
19.8545,60
19.8711,60
19.8878,60
19.9046,60
19.9211,60
19.9378,60
19.9545,60
19.9712,60
19.9878,60
20.0045,60
20.0212,60
20.0378,60
20.0545,60
20.0712,60
20.0878,60
20.1045,60
20.1211,60
20.1378,60
20.1545,60
20.1712,60
20.1878,60
20.2046,60
20.2212,60
20.2379,60
20.2545,60
20.2712,60
20.2879,60
20.3045,60
20.3212,60
20.3379,60
20.3545,60
20.3712,60
20.3879,60
20.4046,60
20.4212,60
20.4379,60
20.4545,60
20.4712,60
20.4878,60
20.5045,60
20.5213,60
20.5379,60
20.5545,60
20.5712,60
20.5879,60
20.6045,60
20.6212,60
20.6379,60
20.6546,60
20.6711,60
20.6878,60
20.7045,60
20.7211,60
20.7378,60
20.7545,60
20.7711,60
20.7878,60
20.8045,60
20.8211,60
20.8378,60
20.8545,60
20.8712,60
20.8878,60
20.9045,60
20.9212,60
20.9378,60
20.9545,60
20.9713,60
20.9878,60
21.0045,60
21.0211,60
21.0378,60
21.0545,60
21.0712,60
21.0878,60
21.1045,60
21.1212,60
21.1379,60
21.1545,60
21.1712,60
21.1879,60
21.2045,60
21.2212,60
21.2379,60
21.2546,60
21.2712,60
21.2878,60
21.3045,60
21.3212,60
21.3379,60
21.3545,60
21.3712,60
21.3878,60
21.4045,60
21.4212,60
21.4379,60
21.4545,60
21.4712,60
21.4879,60
21.5045,60
21.5212,60
21.5379,60
21.5546,60
21.5712,60
21.5879,60
21.6045,60
21.6212,60
21.6378,60
21.6545,60
21.6712,60
21.6879,60
21.7045,60
21.7212,60
21.7379,60
21.7545,60
21.7712,60
21.7878,60
21.8046,60
21.8212,60
21.8378,60
21.8546,60
21.8712,60
21.8879,60
21.9045,60
21.9212,60
21.9379,60
21.9545,60
21.9712,60
21.9879,60
22.0045,60
22.0212,60
22.0379,60
22.0546,60
22.0712,60
22.0879,60
22.1046,60
22.1213,60
22.1379,60
22.1546,60
22.1712,60
22.1879,60
22.2045,60
22.2212,60
22.2379,60
22.2545,60
22.2712,60
22.2879,60
22.3046,60
22.3212,60
22.3379,60
22.3545,60
22.3713,60
22.388,60
22.4046,60
22.4212,60
22.4379,60
22.4546,60
22.4713,60
22.4879,60
22.5046,60
22.5213,60
22.5379,60
22.5546,60
22.5713,60
22.5879,60
22.6046,60
22.6212,60
22.6379,60
22.6546,60
22.6713,60
22.688,60
22.7046,60
22.7213,60
22.738,60
22.7547,60
22.7713,60
22.7879,60
22.8047,60
22.8213,60
22.838,60
22.8546,60
22.8713,60
22.888,60
22.9046,60
22.9213,60
22.938,60
22.9546,60
22.9713,60
22.988,60
23.0046,60
23.0213,60
23.038,60
23.0547,60
23.0713,60
23.088,60
23.1046,60
23.1213,60
23.138,60
23.1546,60
23.1713,60
23.188,60
23.2046,60
23.2213,60
23.238,60
23.2546,60
23.2713,60
23.288,60
23.3047,60
23.3213,60
23.338,60
23.3547,60
23.3713,60
23.388,60
23.4046,60
23.4213,60
23.438,60
23.4547,60
23.4713,60
23.488,60
23.5047,60
23.5213,60
23.538,60
23.5546,60
23.5714,60
23.588,60
23.6047,60
23.6213,60
23.638,60
23.6546,60
23.6713,60
23.688,60
23.7047,60
23.7214,60
23.738,60
23.7546,60
23.7713,60
23.788,60
23.8047,60
23.8213,60
23.838,60
23.8547,60
23.8714,60
23.888,60
23.9047,60
23.9213,60
23.9381,60
23.9547,60
23.9714,60
23.988,60
24.0047,60
24.0213,60
24.038,60
24.0547,60
24.0713,60
24.088,60
24.1047,60
24.1213,60
24.138,60
24.1547,60
24.1713,60
24.188,60
24.2047,60
24.2214,60
24.2381,60
24.2547,60
24.2714,60
24.288,60
24.3048,60
24.3214,60
24.338,60
24.3547,60
24.3714,60
24.388,60
24.4047,60
24.4214,60
24.438,60
24.4547,60
24.4713,60
24.488,60
24.5047,60
24.5213,60
24.538,60
24.5547,60
24.5716,60
24.5883,60
24.605,60
24.6216,60
24.6382,60
24.6549,60
24.6716,60
24.6882,60
24.7049,60
24.7216,60
24.7382,60
24.7549,60
24.7716,60
24.7883,60
24.805,60
24.8216,60
24.8383,60
24.855,60
24.8716,60
24.8882,60
24.9049,60
24.9216,60
24.9382,60
24.9549,60
24.9716,60
24.9883,60
25.0049,60
25.0216,60
25.0383,60
25.0549,60
25.0716,60
25.0883,60
25.1049,60
25.1217,60
25.1384,60
25.155,60
25.1716,60
25.1883,60
25.2049,60
25.2216,60
25.2383,60
25.255,60
25.2717,60
25.2883,60
25.305,60
25.3216,60
25.3383,60
25.355,60
25.3716,60
25.3884,60
25.405,60
25.4217,60
25.4383,60
25.455,60
25.4717,60
25.4884,60
25.505,60
25.5217,60
25.5383,60
25.555,60
25.5716,60
25.5883,60
25.605,60
25.6217,60
25.6384,60
25.655,60
25.6717,60
25.6884,60
25.705,60
25.7216,60
25.7383,60
25.755,60
25.7717,60
25.789,60
25.8055,60
25.8222,60
25.8389,60
25.8564,60
25.873,60
25.8897,60
25.9064,60
25.9231,60
25.9397,60
25.9564,60
25.9731,60
25.9898,60
26.0064,60
26.0231,60
26.0398,60
26.0565,60
26.0731,60
26.0898,60
26.1064,60
26.1231,60
26.1398,60
26.1565,60
26.1731,60
26.1898,60
26.2065,60
26.2231,60
26.2398,60
26.2565,60
26.2734,60
26.2899,60
26.3065,60
26.3232,60
26.3409,60
26.3574,60
26.3747,60
26.3915,60
26.4082,60
26.4248,60
26.4415,60
26.4582,60
26.4748,60
26.4938,60
26.5103,60
26.527,60
26.5437,60
26.5603,60
26.577,60
26.5937,60
26.6104,60
26.627,60
26.6438,60
26.6603,60
26.677,60
26.6936,60
26.7103,60
26.727,60
26.7436,60
26.7603,60
26.7769,60
26.7937,60
26.8103,60
26.8271,60
26.8437,60
26.8603,60
26.877,60
26.8937,60
26.9104,60
26.927,60
26.9437,60
26.9604,60
26.977,60
26.9937,60
27.0104,60
27.027,60
27.0438,60
27.0604,60
27.077,60
27.0937,60
27.1104,60
27.127,60
27.1437,60
27.1604,60
27.1771,60
27.1938,60
27.2104,60
27.2271,60
27.2438,60
27.2604,60
27.277,60
27.2937,60
27.3104,60
27.327,60
27.3437,60
27.3604,60
27.377,60
27.3937,60
27.4104,60
27.4271,60
27.4438,60
27.4604,60
27.4771,60
27.4938,60
27.5104,60
27.5271,60
27.5437,60
27.5605,60
27.5771,60
27.5938,60
27.6104,60
27.6271,60
27.6438,60
27.6604,60
27.6771,60
27.6938,60
27.7106,60
27.7273,60
27.7439,60
27.7606,60
27.7774,60
27.794,60
27.8106,60
27.8273,60
27.844,60
27.8606,60
27.8773,60
27.894,60
27.9106,60
27.9273,60
27.944,60
27.9606,60
27.9773,60
27.994,60
28.0106,60
28.0273,60
28.0439,60
28.0606,60
28.0773,60
28.094,60
28.1106,60
28.1273,60
28.144,60
28.1607,60
28.1773,60
28.194,60
28.2106,60
28.2273,60
28.244,60
28.2608,60
28.2773,60
28.2939,60
28.3106,60
28.3273,60
28.344,60
28.3606,60
28.3773,60
28.394,60
28.4106,60
28.4273,60
28.444,60
28.4607,60
28.4773,60
28.494,60
28.5107,60
28.5273,60
28.544,60
28.5608,60
28.5774,60
28.594,60
28.6107,60
28.6273,60
28.644,60
28.6607,60
28.6774,60
28.6941,60
28.7107,60
28.7274,60
28.744,60
28.7607,60
28.7774,60
28.794,60
28.8109,60
28.8275,60
28.8441,60
28.8607,60
28.8774,60
28.894,60
28.9107,60
28.9274,60
28.944,60
28.9607,60
28.9774,60
28.9941,60
29.0107,60
29.0274,60
29.044,60
29.0607,60
29.0774,60
29.094,60
29.1107,60
29.1274,60
29.144,60
29.1608,60
29.1774,60
29.1941,60
29.2107,60
29.2274,60
29.2441,60
29.2607,60
29.2774,60
29.2941,60
29.3107,60
29.3274,60
29.3441,60
29.3607,60
29.3774,60
29.3941,60
29.4107,60
29.4274,60
29.4441,60
29.4608,60
29.4775,60
29.4941,60
29.5107,60
29.5274,60
29.5441,60
29.5607,60
29.5774,60
29.5942,60
29.6107,60
29.6274,60
29.6441,60
29.6607,60
29.6774,60
29.6941,60
29.7107,60
29.7274,60
29.7441,60
29.7607,60
29.7774,60
29.7941,60
29.8108,60
29.8274,60
29.8441,60
29.8607,60
29.8774,60
29.8942,60
29.9108,60
29.9274,60
29.9441,60
29.9608,60
29.9774,60
29.9941,60
30.0107,60
30.0274,60
30.0441,60
30.0608,60
30.0774,60
30.0941,60
30.1108,60
30.1274,60
30.1441,60
30.1608,60
30.1774,60
30.1941,60
30.2108,60
30.2274,60
30.2441,60
30.2608,60
30.2775,60
30.2941,60
30.3108,60
30.3275,60
30.3441,60
30.3608,60
30.3775,60
30.3941,60
30.4108,60
30.4274,60
30.4441,60
30.4608,60
30.4775,60
30.4941,60
30.5109,60
30.5274,60
30.5441,60
30.5608,60
30.5776,60
30.5942,60
30.6108,60
30.6275,60
30.6442,60
30.6608,60
30.6775,60
30.6941,60
30.7108,60
30.7275,60
30.7441,60
30.7608,60
30.7774,60
30.7941,60
30.8108,60
30.8275,60
30.8442,60
30.8608,60
30.8775,60
30.8942,60
30.9108,60
30.9275,60
30.9441,60
30.9608,60
30.9775,60
30.9941,60
31.0108,60
31.0275,60
31.0442,60
31.0608,60
31.0775,60
31.095,60
31.1108,60
31.1275,60
31.1442,60
31.1608,60
31.1775,60
31.1942,60
31.2108,60
31.2275,60
31.2442,60
31.2608,60
31.2775,60
31.2942,60
31.3108,60
31.3275,60
31.3442,60
31.3608,60
31.3775,60
31.3942,60
31.4109,60
31.4275,60
31.4442,60
31.4608,60
31.4775,60
31.4942,60
31.5108,60
31.5276,60
31.5442,60
31.5609,60
31.5776,60
31.5942,60
31.6108,60
31.6275,60
31.6442,60
31.6609,60
31.6775,60
31.6942,60
31.7109,60
31.7276,60
31.7443,60
31.7609,60
31.7775,60
31.7942,60
31.8109,60
31.8275,60
31.8442,60
31.8609,60
31.8775,60
31.8942,60
31.9109,60
31.9275,60
31.9442,60
31.9609,60
31.9776,60
31.9942,60
32.0109,60
32.0276,60
32.0443,60
32.0609,60
32.0776,60
32.0943,60
32.111,60
32.1276,60
32.1443,60
32.1609,60
32.1776,60
32.1943,60
32.2109,60
32.2276,60
32.2443,60
32.2609,60
32.2776,60
32.2943,60
32.311,60
32.3276,60
32.3443,60
32.3609,60
32.3776,60
32.3943,60
32.4109,60
32.4276,60
32.4443,60
32.4609,60
32.4776,60
32.4943,60
32.511,60
32.5276,60
32.5443,60
32.561,60
32.5777,60
32.5943,60
32.611,60
32.6276,60
32.6443,60
32.661,60
32.6776,60
32.6943,60
32.7109,60
32.7276,60
32.7443,60
32.7609,60
32.7776,60
32.7943,60
32.811,60
32.8276,60
32.8443,60
32.861,60
32.8776,60
32.8944,60
32.911,60
32.9277,60
32.9444,60
32.961,60
32.9777,60
32.9944,60
33.0112,60
33.0279,60
33.0446,60
33.0612,60
33.0779,60
33.0946,60
33.1112,60
33.1279,60
33.1446,60
33.1613,60
33.1779,60
33.1946,60
33.2113,60
33.228,60
33.2447,60
33.2615,60
33.278,60
33.2947,60
33.3114,60
33.328,60
33.3447,60
33.3614,60
33.3781,60
33.3947,60
33.4114,60
33.4281,60
33.4447,60
33.4614,60
33.4781,60
33.4947,60
33.5114,60
33.5281,60
33.5447,60
33.5615,60
33.5781,60
33.5948,60
33.6114,60
33.6281,60
33.6462,60
33.663,60
33.6796,60
33.6963,60
33.7129,60
33.7297,60
33.7463,60
33.763,60
33.7796,60
33.7962,60
33.8129,60
33.8296,60
33.8462,60
33.863,60
33.8796,60
33.8963,60
33.9129,60
33.9296,60
33.9462,60
33.9629,60
33.9796,60
33.9962,60
34.0129,60
34.0297,60
34.0463,60
34.0629,60
34.0796,60
34.0962,60
34.1129,60
34.1296,60
34.1463,60
34.1629,60
34.1797,60
34.1963,60
34.213,60
34.2296,60
34.2463,60
34.2629,60
34.2796,60
34.2963,60
34.313,60
34.3297,60
34.3463,60
34.3629,60
34.3796,60
34.3963,60
34.413,60
34.4297,60
34.4463,60
34.463,60
34.4798,60
34.4963,60
34.513,60
34.5296,60
34.5463,60
34.563,60
34.5796,60
34.5964,60
34.616,60
34.6328,60
34.6494,60
34.6661,60
34.6827,60
34.6994,60
34.7161,60
34.7327,60
34.7494,60
34.7661,60
34.7828,60
34.7994,60
34.8161,60
34.8327,60
34.8494,60
34.8661,60
34.8828,60
34.8995,60
34.9161,60
34.9327,60
34.9494,60
34.9661,60
34.9828,60
34.9994,60
35.0189,60
35.0356,60
35.0523,60
35.0689,60
35.0857,60
35.1023,60
35.1189,60
35.1357,60
35.1523,60
35.169,60
35.1857,60
35.2023,60
35.219,60
35.2357,60
35.2523,60
35.269,60
35.2857,60
35.3023,60
35.319,60
35.3357,60
35.3523,60
35.3689,60
35.3857,60
35.4051,60
35.4218,60
35.4385,60
35.4552,60
35.4718,60
35.4885,60
35.5052,60
35.5232,60
35.5399,60
35.5565,60
35.5732,60
35.5899,60
35.6065,60
35.6232,60
35.6399,60
35.6566,60
35.6732,60
35.69,60
35.7066,60
35.7232,60
35.7399,60
35.7566,60
35.7732,60
35.7899,60
35.8066,60
35.8233,60
35.8399,60
35.8574,60
35.8741,60
35.8908,60
35.9075,60
35.9241,60
35.9408,60
35.9575,60
35.9759,60
35.9926,60
36.0092,60
36.0259,60
36.0426,60
36.0592,60
36.0759,60
36.0926,60
36.1092,60
36.1259,60
36.1425,60
36.1592,60
36.177,60
36.1937,60
36.2104,60
36.2271,60
36.2437,60
36.2604,60
36.2806,60
36.2974,60
36.314,60
36.3306,60
36.3473,60
36.3639,60
36.3806,60
36.3973,60
36.414,60
36.4307,60
36.4475,60
36.464,60
36.4807,60
36.4973,60
36.514,60
36.5307,60
36.5473,60
36.5639,60
36.5806,60
36.5974,60
36.614,60
36.6306,60
36.6473,60
36.664,60
36.6806,60
36.6973,60
36.714,60
36.7307,60
36.7473,60
36.764,60
36.7807,60
36.7973,60
36.814,60
36.8306,60
36.8474,60
36.864,60
36.8807,60
36.8973,60
36.914,60
36.9307,60
36.9474,60
36.964,60
36.9807,60
36.9973,60
37.014,60
37.0314,60
37.0483,60
37.0648,60
37.0815,60
37.0981,60
37.1148,60
37.1315,60
37.1482,60
37.1648,60
37.1815,60
37.1982,60
37.2149,60
37.2315,60
37.2482,60
37.2675,60
37.2843,60
37.3009,60
37.3176,60
37.3342,60
37.3508,60
37.3676,60
37.3842,60
37.4009,60
37.4176,60
37.4343,60
37.4509,60
37.4675,60
37.4842,60
37.5009,60
37.5176,60
37.5342,60
37.5509,60
37.5676,60
37.5842,60
37.601,60
37.6176,60
37.6342,60
37.6509,60
37.6676,60
37.6842,60
37.7009,60
37.7176,60
37.7343,60
37.7509,60
37.7676,60
37.7891,60
37.8059,60
37.8226,60
37.8392,60
37.8559,60
37.8725,60
37.8892,60
37.9072,60
37.9239,60
37.9405,60
37.9572,60
37.9739,60
37.9906,60
38.0072,60
38.0239,60
38.0406,60
38.0572,60
38.0739,60
38.0911,60
38.1075,60
38.1242,60
38.1408,60
38.1575,60
38.1742,60
38.1909,60
38.2075,60
38.2244,60
38.241,60
38.2576,60
38.2743,60
38.291,60
38.3076,60
38.3243,60
38.341,60
38.3576,60
38.3743,60
38.391,60
38.4076,60
38.4243,60
38.441,60
38.4577,60
38.4743,60
38.491,60
38.5077,60
38.5243,60
38.541,60
38.5577,60
38.5743,60
38.591,60
38.6077,60
38.6243,60
38.641,60
38.6577,60
38.6744,60
38.691,60
38.7077,60
38.7244,60
38.741,60
38.7577,60
38.7743,60
38.791,60
38.8077,60
38.8243,60
38.841,60
38.8577,60
38.8743,60
38.891,60
38.9077,60
38.9243,60
38.941,60
38.9577,60
38.9743,60
38.991,60
